ncols	125
nrows	167
xllcorner	-2042055.000000
yllcorner	1465035.000000
cellsize	30.000000
NODATA_value	-9999.000000
27	29	29	20	10	5	4	5	7	10	12	10	7	8	12	14	14	12	10	9	9	9	10	11	12	13	15	16	17	19	21	23	25	29	31	28	21	16	13	12	12	12	12	14	16	19	19	16	14	14	14	14	14	13	13	14	16	17	18	19	18	16	12	10	10	13	16	19	21	22	21	19	18	16	16	16	15	11	9	12	13	11	12	15	16	15	14	14	14	13	13	13	14	14	13	12	12	11	9	11	13	11	11	15	18	16	14	15	15	16	18	21	23	25	26	20	14	11	13	16	18	17	14	13	13	
27	29	29	20	10	5	4	5	7	10	12	10	7	8	12	14	14	12	10	9	9	9	10	11	12	13	15	16	17	19	21	23	25	29	31	28	21	16	13	12	12	12	12	14	16	19	19	16	14	14	14	14	14	13	13	14	16	17	18	19	18	16	12	10	10	13	16	19	21	22	21	19	18	16	16	16	15	11	9	12	13	11	12	15	16	15	14	14	14	13	13	13	14	14	13	12	12	11	9	11	13	11	11	15	18	16	14	15	15	16	18	21	23	25	26	20	14	11	13	16	18	17	14	13	13	
35	34	29	17	4	358	358	0	5	11	13	11	7	8	13	16	16	13	10	9	9	9	11	12	14	16	18	20	20	22	24	25	27	30	30	26	20	14	11	11	12	12	13	15	16	18	17	14	13	13	14	14	15	14	13	14	17	18	19	20	19	15	11	8	10	14	18	20	21	20	19	18	17	16	16	16	14	9	7	12	14	11	11	16	17	15	14	14	14	13	12	13	14	13	11	10	11	11	10	12	15	14	13	18	22	20	17	18	20	20	23	26	25	25	23	18	12	10	12	16	19	17	11	8	8	
43	39	28	14	357	345	343	349	360	10	15	13	8	9	17	21	19	15	12	9	9	10	12	15	18	22	25	26	26	26	27	28	29	29	27	23	18	13	9	7	9	10	12	13	14	15	14	13	12	13	15	15	16	15	15	16	18	20	21	21	20	16	10	8	10	15	20	21	21	20	19	18	18	18	17	16	13	8	6	12	15	10	9	15	18	17	15	15	13	11	11	11	12	11	8	7	10	15	16	17	20	21	23	30	33	30	26	27	30	31	29	27	25	21	18	15	10	6	8	14	18	17	9	2	2	
45	40	27	14	360	345	336	338	350	4	14	15	10	11	20	25	21	15	12	9	9	11	14	18	22	27	29	29	26	25	26	26	26	25	24	22	19	16	9	3	2	5	7	9	11	12	12	13	13	14	16	17	17	18	18	19	20	22	22	22	21	19	15	14	15	18	21	22	23	24	23	23	23	22	20	17	14	10	8	11	11	6	4	13	20	21	18	15	13	11	10	10	9	7	5	6	13	22	25	25	29	33	37	41	40	36	32	30	32	31	24	18	17	16	14	11	7	2	3	9	16	18	13	9	9	
45	40	27	15	4	353	341	334	338	352	7	13	11	11	19	24	21	13	8	7	9	14	18	22	26	30	30	27	24	23	23	23	23	23	23	22	20	18	12	3	357	357	1	5	8	10	11	12	14	16	18	19	19	20	21	21	21	20	19	20	22	23	22	21	21	22	23	24	26	28	29	30	29	27	23	19	16	13	10	8	7	1	359	10	22	25	20	15	12	10	9	8	5	4	5	12	23	31	34	35	38	42	44	43	37	31	28	25	23	22	19	11	10	11	9	6	2	0	2	9	18	21	20	18	18	
42	37	26	15	8	1	352	342	335	337	352	6	8	7	15	22	21	13	6	5	11	18	23	26	28	29	29	25	22	20	20	21	22	23	23	22	20	19	16	10	1	354	354	359	5	9	11	12	15	18	19	20	20	21	21	19	17	16	16	18	22	27	28	28	27	26	25	25	26	28	30	31	30	28	25	22	19	15	10	6	4	359	358	7	21	25	21	15	11	9	7	5	3	5	12	24	34	40	43	43	42	41	40	37	30	24	22	20	17	16	17	11	5	5	5	2	359	359	3	12	23	27	25	21	21	
38	33	23	16	11	8	3	355	344	335	337	350	357	360	8	19	22	17	10	8	13	21	26	27	28	28	26	24	20	18	18	20	21	21	20	18	18	18	17	15	10	2	355	354	1	9	13	15	17	18	19	19	19	20	20	18	17	17	19	21	25	28	30	29	29	29	28	25	24	24	26	28	28	27	25	23	21	16	10	6	3	359	359	5	15	21	18	13	9	7	5	3	6	13	26	37	44	46	45	42	38	35	33	30	25	18	15	14	12	11	14	13	7	2	1	360	358	1	7	15	24	29	27	22	22	
31	27	20	17	15	13	10	4	356	346	340	340	343	349	0	14	22	22	17	14	16	22	27	28	28	26	23	21	19	17	17	17	17	15	13	13	14	16	17	17	15	12	7	360	359	5	11	14	15	16	17	18	18	19	21	22	22	23	26	28	29	29	28	27	28	29	28	24	21	21	23	25	26	25	22	20	18	15	10	6	3	1	1	355	7	12	13	9	7	6	4	6	14	26	36	41	43	42	38	34	31	29	26	24	19	12	7	6	6	7	10	12	10	5	2	0	0	4	8	12	21	27	29	28	28	
23	22	20	19	18	16	13	8	2	356	351	346	341	341	351	8	21	23	21	18	19	22	26	28	27	23	20	18	18	16	14	13	12	10	8	10	13	15	17	17	17	17	15	10	3	2	6	11	13	15	18	20	21	22	26	29	31	32	33	33	31	30	28	24	24	25	25	22	20	19	20	22	21	19	17	15	13	11	10	8	6	4	2	2	3	6	6	4	4	5	7	12	23	31	33	33	33	33	30	26	25	23	20	17	13	7	1	359	2	5	7	10	10	9	8	6	5	5	3	7	17	27	34	38	38	
15	17	21	21	20	17	14	9	5	2	359	355	350	345	347	1	16	20	19	18	20	22	24	25	23	20	18	16	15	12	10	8	7	8	8	10	13	15	16	17	17	18	19	17	11	4	4	9	13	16	20	24	25	26	29	34	37	38	36	33	31	30	27	21	17	19	22	22	20	17	15	16	16	13	11	10	10	10	11	11	9	7	6	4	4	4	2	359	2	7	13	19	23	25	24	24	25	26	25	21	19	18	15	11	7	3	1	359	1	5	6	8	10	12	14	14	11	6	359	2	15	30	41	45	45	
8	14	21	21	19	16	12	9	7	6	5	3	0	356	353	358	7	11	13	16	20	22	22	21	19	17	15	12	9	8	7	6	8	10	13	14	14	14	15	16	17	18	20	20	17	11	6	9	15	19	23	26	27	28	30	34	37	35	33	31	30	27	23	17	11	14	19	22	21	17	12	11	11	10	9	8	10	13	16	17	15	11	9	8	7	4	360	357	1	8	13	15	16	17	18	18	19	19	18	15	13	12	9	6	4	3	4	5	5	5	8	10	13	16	19	19	16	12	4	2	13	31	43	47	47	
12	14	17	18	17	15	13	11	11	11	10	9	8	6	2	360	1	4	7	14	21	24	23	20	16	14	12	9	7	7	8	10	14	19	21	18	15	15	16	16	16	17	19	21	21	17	12	13	18	23	27	29	31	33	34	33	31	28	27	27	26	23	19	14	10	10	17	21	21	17	11	9	9	9	9	11	16	22	27	28	25	19	12	9	7	3	357	355	358	3	6	9	11	12	12	12	12	12	11	10	9	7	5	5	6	7	9	11	9	8	11	15	18	20	21	20	19	17	14	10	13	27	39	43	43	
